Patient,Taxon,Group,Tissue,Stool
1,Firmicutes,0,136,4182
2,Firmicutes,1,1174,703
3,Firmicutes,0,408,3946
4,Firmicutes,1,831,8605
5,Firmicutes,0,693,50
6,Firmicutes,1,718,717
7,Firmicutes,0,173,33
8,Firmicutes,1,228,80
9,Firmicutes,0,162,3196
10,Firmicutes,1,372,32
11,Firmicutes,0,4255,4361
12,Firmicutes,1,107,1667
13,Firmicutes,0,96,223
14,Firmicutes,1,281,2377
1,Proteobacteria,0,2469,1821
2,Proteobacteria,1,839,661
3,Proteobacteria,0,4414,18
4,Proteobacteria,1,12044,83
5,Proteobacteria,0,2310,12
6,Proteobacteria,1,3053,547
7,Proteobacteria,0,395,2174
8,Proteobacteria,1,2651,767
9,Proteobacteria,0,1195,76
10,Proteobacteria,1,6857,795
11,Proteobacteria,0,483,666
12,Proteobacteria,1,2950,3994
13,Proteobacteria,0,1541,816
14,Proteobacteria,1,1307,53
1,Actinobacteria,0,1590,4
2,Actinobacteria,1,25,2
3,Actinobacteria,0,259,300
4,Actinobacteria,1,568,7
5,Actinobacteria,0,1102,9
6,Actinobacteria,1,678,377
7,Actinobacteria,0,260,58
8,Actinobacteria,1,424,233
9,Actinobacteria,0,548,21
10,Actinobacteria,1,201,83
11,Actinobacteria,0,42,75
12,Actinobacteria,1,109,59
13,Actinobacteria,0,51,183
14,Actinobacteria,1,310,204
1,Bacteroidetes,0,67,0
2,Bacteroidetes,1,0,0
3,Bacteroidetes,0,85,5
4,Bacteroidetes,1,143,7
5,Bacteroidetes,0,678,2
6,Bacteroidetes,1,4829,209
7,Bacteroidetes,0,74,651
8,Bacteroidetes,1,169,254
9,Bacteroidetes,0,106,10
10,Bacteroidetes,1,73,381
11,Bacteroidetes,0,30,359
12,Bacteroidetes,1,51,51
13,Bacteroidetes,0,2473,2314
14,Bacteroidetes,1,102,33
1,Other,0,195,18
2,Other,1,42,2
3,Other,0,316,43
4,Other,1,202,40
5,Other,0,116,0
6,Other,1,527,12
7,Other,0,357,11
8,Other,1,106,11
9,Other,0,67,14
10,Other,1,203,6
11,Other,0,392,6
12,Other,1,28,25
13,Other,0,12,22
14,Other,1,305,32
